SKU_Name,SKU,Price_Tier1,Description,Status
GBBstnBlu1ozRollonGl,GBBstnBlu1ozRollonGl,$0.87,"Boston round design 30ml, 1oz Cobalt blue glass bottle with plastic roller ball plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball.",Found
GBBstnBlu1ozRollonMattGl,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithplastic roller ball plugandmatte gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter roller ball.Price each",Missing
GBBstnBlu1ozWhtDropper,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithwhite dropper00.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu1ozBlkDropperShnSlTrim,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandblack dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu1ozWhtDropperShnGlTrim,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandwhite dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu1ozWhtDropperShnSlTrim,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandwhite dropperwith ashiny silver trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu1ozBlkDropperShnGlTrim,,,"Boston rounddesign30ml,1oz Cobalt blue glass bottleandblack dropperwith ashiny gold trim cap.For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.Price each",Missing
GBBstnBlu1ozBlkDropper,GBBstnBlu1ozBlkDropper,$0.68,"Boston round design 30ml, 1oz Cobalt blue glass bottle with black dropper. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils.",Found
GBBstnBlu1ozBlkCapSht,GBBstnBlu1ozBlkCapSht,$0.45,"Boston round design 30ml, 1oz Cobalt blue glass bottle with short black cap. For use with Perfume oils, essential oils, diffuser oils and aromatherapy.",Found
GBBstn1ozMtlRollonMattSl,,,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandmatte silver cap.For use with perfume, fragrance oil, essential oils, body oils, thin lotions and ointments.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstn1ozMtlRollonShnSl,,,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandshiny silver cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstn1ozMtlRollonMattBlk,,,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandmatte black cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
GBBstn1ozMtlRollonGl,,,"Boston rounddesign30ml,1oz Clear glass bottlewithmetal roller plugandshiny gold cap.For use with perfume, fragrance oil, essential oil, or aromatherapy.Refillable bottle with large, 12mm diameter metal-roller ball.Price each",Missing
